,RM,PTRATIO,LSTAT,MEDV
199,6.975,17.0,4.56,34.9
200,7.135,17.0,4.45,32.9
201,6.162000000000001,14.7,7.43,24.1
202,7.61,14.7,3.11,42.3
203,7.853,14.7,3.81,48.5
204,8.033999999999999,14.7,2.88,50.0
205,5.891,18.6,10.87,22.6
206,6.3260000000000005,18.6,10.97,24.4
207,5.7829999999999995,18.6,18.06,22.5
208,6.064,18.6,14.66,24.4
209,5.343999999999999,18.6,23.09,20.0
210,5.96,18.6,17.27,21.7
211,5.404,18.6,23.98,19.3
212,5.807,18.6,16.03,22.4
213,6.375,18.6,9.38,28.1
214,5.412000000000001,18.6,29.55,23.7
215,6.182,18.6,9.47,25.0
216,5.888,16.4,13.51,23.3
217,6.642,16.4,9.69,28.7
218,5.9510000000000005,16.4,17.92,21.5
219,6.372999999999999,16.4,10.5,23.0
220,6.9510000000000005,17.4,9.71,26.7
221,6.164,17.4,21.46,21.7
222,6.879,17.4,9.93,27.5
223,6.617999999999999,17.4,7.6,30.1
224,8.266,17.4,4.14,44.8
225,8.725,17.4,4.63,50.0
226,8.04,17.4,3.13,37.6
227,7.162999999999999,17.4,6.36,31.6
228,7.686,17.4,3.92,46.7
229,6.5520000000000005,17.4,3.76,31.5
230,5.981,17.4,11.65,24.3
231,7.412000000000001,17.4,5.25,31.7
232,8.337,17.4,2.47,41.7
233,8.247,17.4,3.95,48.3
234,6.726,17.4,8.05,29.0
235,6.086,17.4,10.88,24.0
236,6.631,17.4,9.54,25.1
237,7.358,17.4,4.73,31.5
238,6.481,16.6,6.36,23.7
239,6.606,16.6,7.37,23.3
240,6.897,16.6,11.38,22.0
241,6.095,16.6,12.4,20.1
242,6.358,16.6,11.22,22.2
243,6.393,16.6,5.19,23.7
244,5.593,19.1,12.5,17.6
245,5.605,19.1,18.46,18.5
246,6.108,19.1,9.16,24.3
247,6.226,19.1,10.15,20.5
248,6.433,19.1,9.52,24.5
249,6.718,19.1,6.56,26.2
250,6.487,19.1,5.9,24.4
251,6.438,19.1,3.59,24.8
252,6.957000000000001,19.1,3.53,29.6
253,8.259,19.1,3.54,42.8
254,6.108,16.4,6.57,21.9
255,5.876,16.4,9.25,20.9
256,7.454,15.9,3.11,44.0
257,8.704,13.0,5.12,50.0
258,7.332999999999999,13.0,7.79,36.0
259,6.8420000000000005,13.0,6.9,30.1
260,7.202999999999999,13.0,9.59,33.8
261,7.52,13.0,7.26,43.1
262,8.398,13.0,5.91,48.8
263,7.327000000000001,13.0,11.25,31.0
264,7.206,13.0,8.1,36.5
265,5.56,13.0,10.45,22.8
266,7.013999999999999,13.0,14.79,30.7
267,8.297,13.0,7.44,50.0
268,7.47,13.0,3.16,43.5
269,5.92,18.6,13.65,20.7
270,5.856,18.6,13.0,21.1
271,6.24,18.6,6.59,25.2
272,6.537999999999999,18.6,7.73,24.4
273,7.691,18.6,6.58,35.2
274,6.757999999999999,17.6,3.53,32.4
275,6.854,17.6,2.98,32.0
276,7.267,17.6,6.05,33.2
277,6.8260000000000005,17.6,4.16,33.1
278,6.482,17.6,7.19,29.1
279,6.812,14.9,4.85,35.1
280,7.82,14.9,3.76,45.4
281,6.968,14.9,4.59,35.4
282,7.645,14.9,3.01,46.0
283,7.922999999999999,13.6,3.16,50.0
284,7.087999999999999,15.3,7.85,32.2
285,6.452999999999999,15.3,8.23,22.0
286,6.23,18.2,12.93,20.1
287,6.209,16.6,7.14,23.2
288,6.315,16.6,7.6,22.3
289,6.565,16.6,9.51,24.8
290,6.861000000000001,19.2,3.33,28.5
291,7.148,19.2,3.56,37.3
292,6.63,19.2,4.7,27.9
293,6.127000000000001,16.0,8.58,23.9
294,6.0089999999999995,16.0,10.4,21.7
295,6.678,16.0,6.27,28.6
296,6.5489999999999995,16.0,7.39,27.1
297,5.79,16.0,15.84,20.3
298,6.345,14.8,4.97,22.5
299,7.041,14.8,4.74,29.0
300,6.871,14.8,6.07,24.8
301,6.59,16.1,9.5,22.0
302,6.495,16.1,8.67,26.4
303,6.982,16.1,4.86,33.1
304,7.236000000000001,18.4,6.93,36.1
305,6.6160000000000005,18.4,8.93,28.4
306,7.42,18.4,6.47,33.4
307,6.849,18.4,7.53,28.2
308,6.635,18.4,4.54,22.8
309,5.972,18.4,9.97,20.3
310,4.973,18.4,12.64,16.1
311,6.122000000000001,18.4,5.98,22.1
312,6.023,18.4,11.72,19.4
313,6.266,18.4,7.9,21.6
314,6.567,18.4,9.28,23.8
315,5.705,18.4,11.5,16.2
316,5.914,18.4,18.33,17.8
317,5.782,18.4,15.94,19.8
318,6.382000000000001,18.4,10.36,23.1
319,6.1129999999999995,18.4,12.73,21.0
320,6.426,19.6,7.2,23.8
321,6.376,19.6,6.87,23.1
322,6.041,19.6,7.7,20.4
323,5.707999999999999,19.6,11.74,18.5
324,6.415,19.6,6.12,25.0
325,6.431,19.6,5.08,24.6
326,6.312,19.6,6.15,23.0
327,6.082999999999999,19.6,12.79,22.2
328,5.867999999999999,16.9,9.97,19.3
329,6.332999999999999,16.9,7.34,22.6
330,6.144,16.9,9.09,19.8
331,5.706,16.9,12.43,17.1
332,6.031000000000001,16.9,7.83,19.4
333,6.316,20.2,5.68,22.2
334,6.31,20.2,6.75,20.7
335,6.037000000000001,20.2,8.01,21.1
336,5.869,20.2,9.8,19.5
337,5.895,20.2,10.56,18.5
338,6.059,20.2,8.51,20.6
339,5.985,20.2,9.74,19.0
340,5.968,20.2,9.29,18.7
341,7.2410000000000005,15.5,5.49,32.7
342,6.54,15.9,8.65,16.5
343,6.696000000000001,17.6,7.18,23.9
344,6.874,17.6,4.61,31.2
345,6.013999999999999,18.8,10.53,17.5
346,5.898,18.8,12.67,17.2
347,6.516,17.9,6.36,23.1
348,6.635,17.0,5.99,24.5
349,6.939,19.7,5.89,26.6
350,6.49,19.7,5.98,22.9
351,6.579,18.3,5.49,24.1
352,5.8839999999999995,18.3,7.79,18.6
353,6.728,17.0,4.5,30.1
354,5.662999999999999,22.0,8.05,18.2
355,5.936,22.0,5.57,20.6
356,6.212000000000001,20.2,17.6,17.8
357,6.395,20.2,13.27,21.7
358,6.127000000000001,20.2,11.48,22.7
359,6.112,20.2,12.67,22.6
360,6.398,20.2,7.79,25.0
361,6.251,20.2,14.19,19.9
362,5.362,20.2,10.19,20.8
363,5.803,20.2,14.64,16.8
364,8.78,20.2,5.29,21.9
365,3.5610000000000004,20.2,7.12,27.5
366,4.963,20.2,14.0,21.9
367,3.863,20.2,13.33,23.1
368,4.97,20.2,3.26,50.0
369,6.683,20.2,3.73,50.0
370,7.016,20.2,2.96,50.0
371,6.216,20.2,9.53,50.0
372,5.875,20.2,8.88,50.0
373,4.906000000000001,20.2,34.77,13.8
374,4.138,20.2,37.97,13.8
375,7.313,20.2,13.44,15.0
376,6.649,20.2,23.24,13.9
377,6.794,20.2,21.24,13.3
378,6.38,20.2,23.69,13.1
379,6.223,20.2,21.78,10.2
380,6.968,20.2,17.21,10.4
381,6.545,20.2,21.08,10.9
382,5.5360000000000005,20.2,23.6,11.3
383,5.52,20.2,24.56,12.3
384,4.368,20.2,30.63,8.8
385,5.277,20.2,30.81,7.2
386,4.652,20.2,28.28,10.5
387,5.0,20.2,31.99,7.4
388,4.88,20.2,30.62,10.2
389,5.39,20.2,20.85,11.5
390,5.712999999999999,20.2,17.11,15.1
391,6.051,20.2,18.76,23.2
392,5.0360000000000005,20.2,25.68,9.7
393,6.193,20.2,15.17,13.8
394,5.8870000000000005,20.2,16.35,12.7
395,6.471,20.2,17.12,13.1
396,6.405,20.2,19.37,12.5
397,5.747000000000001,20.2,19.92,8.5
398,5.452999999999999,20.2,30.59,5.0
399,5.852,20.2,29.97,6.3
400,5.987,20.2,26.77,5.6
401,6.343,20.2,20.32,7.2
402,6.404,20.2,20.31,12.1
403,5.349,20.2,19.77,8.3
404,5.531000000000001,20.2,27.38,8.5
405,5.683,20.2,22.98,5.0
406,4.138,20.2,23.34,11.9
407,5.608,20.2,12.13,27.9
408,5.617000000000001,20.2,26.4,17.2
409,6.852,20.2,19.78,27.5
410,5.757000000000001,20.2,10.11,15.0
411,6.657,20.2,21.22,17.2
412,4.628,20.2,34.37,17.9
413,5.155,20.2,20.08,16.3
414,4.519,20.2,36.98,7.0
415,6.434,20.2,29.05,7.2
416,6.782,20.2,25.79,7.5
417,5.303999999999999,20.2,26.64,10.4
418,5.957000000000001,20.2,20.62,8.8
419,6.824,20.2,22.74,8.4
420,6.4110000000000005,20.2,15.02,16.7
421,6.006,20.2,15.7,14.2
422,5.648,20.2,14.1,20.8
423,6.103,20.2,23.29,13.4
424,5.565,20.2,17.16,11.7
425,5.896,20.2,24.39,8.3
426,5.837000000000001,20.2,15.69,10.2
427,6.202000000000001,20.2,14.52,10.9
428,6.193,20.2,21.52,11.0
429,6.38,20.2,24.08,9.5
430,6.348,20.2,17.64,14.5
431,6.832999999999999,20.2,19.69,14.1
432,6.425,20.2,12.03,16.1
433,6.436,20.2,16.22,14.3
434,6.207999999999999,20.2,15.17,11.7
435,6.629,20.2,23.27,13.4
436,6.461,20.2,18.05,9.6
437,6.152,20.2,26.45,8.7
438,5.935,20.2,34.02,8.4
439,5.627000000000001,20.2,22.88,12.8
440,5.818,20.2,22.11,10.5
441,6.406000000000001,20.2,19.52,17.1
442,6.218999999999999,20.2,16.59,18.4
443,6.485,20.2,18.85,15.4
444,5.854,20.2,23.79,10.8
445,6.459,20.2,23.98,11.8
446,6.341,20.2,17.79,14.9
447,6.251,20.2,16.44,12.6
448,6.185,20.2,18.13,14.1
449,6.417000000000001,20.2,19.31,13.0
450,6.749,20.2,17.44,13.4
451,6.655,20.2,17.73,15.2
452,6.297000000000001,20.2,17.27,16.1
453,7.393,20.2,16.74,17.8
454,6.728,20.2,18.71,14.9
455,6.525,20.2,18.13,14.1
456,5.976,20.2,19.01,12.7
457,5.936,20.2,16.94,13.5
458,6.301,20.2,16.23,14.9
459,6.081,20.2,14.7,20.0
460,6.7010000000000005,20.2,16.42,16.4
461,6.376,20.2,14.65,17.7
462,6.317,20.2,13.99,19.5
463,6.513,20.2,10.29,20.2
464,6.209,20.2,13.22,21.4
465,5.7589999999999995,20.2,14.13,19.9
466,5.952000000000001,20.2,17.15,19.0
467,6.002999999999999,20.2,21.32,19.1
468,5.926,20.2,18.13,19.1
469,5.712999999999999,20.2,14.76,20.1
470,6.167000000000001,20.2,16.29,19.9
471,6.229,20.2,12.87,19.6
472,6.437,20.2,14.36,23.2
473,6.98,20.2,11.66,29.8
474,5.4270000000000005,20.2,18.14,13.8
475,6.162000000000001,20.2,24.1,13.3
476,6.484,20.2,18.68,16.7
477,5.303999999999999,20.2,24.91,12.0
478,6.185,20.2,18.03,14.6
479,6.229,20.2,13.11,21.4
480,6.242000000000001,20.2,10.74,23.0
481,6.75,20.2,7.74,23.7
482,7.061,20.2,7.01,25.0
483,5.7620000000000005,20.2,10.42,21.8
484,5.871,20.2,13.34,20.6
485,6.312,20.2,10.58,21.2
486,6.114,20.2,14.98,19.1
487,5.905,20.2,11.45,20.6
488,5.454,20.1,18.06,15.2
489,5.414,20.1,23.97,7.0
490,5.093,20.1,29.68,8.1
491,5.983,20.1,18.07,13.6
492,5.983,20.1,13.35,20.1
493,5.707000000000001,19.2,12.01,21.8
494,5.926,19.2,13.59,24.5
495,5.67,19.2,17.6,23.1
496,5.39,19.2,21.14,19.7
497,5.794,19.2,14.1,18.3
498,6.019,19.2,12.92,21.2
499,5.569,19.2,15.1,17.5
500,6.027,19.2,14.33,16.8
501,6.593,21.0,9.67,22.4
502,6.12,21.0,9.08,20.6
503,6.976,21.0,5.64,23.9
504,6.794,21.0,6.48,22.0
505,6.03,21.0,7.88,11.9
